algorithm,K,runs,HV_mean,HV_std,IGD_mean,IGD_std,PF_size_mean,PF_size_std,return_max_mean,return_max_std,risk_min_mean,risk_min_std,mean_pairwise_PF_overlap,recommendation_consistency
ECMADE-MOO,10,30,0.6230531526986497,0.020259563536683907,0.4324524877116634,0.015249676195840622,90.0,0.0,0.006420402404981421,0.0001691675181954826,0.0006778608557262474,4.9452137928144134e-06,0.5153437991878985,0.06666666666666667
ECMADE-MOO,20,30,0.8637112247924309,0.09150018674807726,0.19362754845775373,0.12784465347069454,90.0,0.0,0.008873534699714502,0.0012724295995244046,0.0006711131318278471,6.022792940445263e-06,0.609151215147793,0.23333333333333334
ECMADE-MOO,30,30,0.9362716861932313,0.09060330911310834,0.0830425076972083,0.12295269649286893,90.0,0.0,0.010030734533076246,0.0013181998197007432,0.0006662061370860051,6.705835165895856e-06,0.631365351246725,0.6666666666666666
ECMADE-MOO,5,30,0.7304883236680187,0.011592419045554143,0.33722715735518616,0.019888521729230838,90.0,0.0,0.007330682793607818,0.00010601731907898937,0.0006766434914350087,4.749645375488488e-06,0.7106960772758357,0.2
NSGA-II,10,30,0.5504898269098604,0.023385228827822038,0.4727325145961724,0.01704670280544225,90.0,0.0,0.005884985115500899,0.00018534448468141582,0.0007293981740099018,3.369525176080556e-05,0.1563353988809398,0.7666666666666667
NSGA-II,20,30,0.4706451537480275,0.027016365460188926,0.5335947604809113,0.021456674247616492,90.0,0.0,0.005280797204820828,0.00022028264638018462,0.0007987836671721659,1.961217099738106e-05,0.10885396609741195,0.7666666666666667
NSGA-II,30,30,0.5083718215116346,0.029058433901997922,0.5123744771747879,0.02344437731377065,89.26666666666667,2.2647050335284042,0.005559583133218196,0.00023446170090776574,0.0007660799360854323,2.3882994780443617e-05,0.10882323150837152,0.03333333333333333
NSGA-II,5,30,0.6754399661360265,0.02256731236336607,0.3685359327955204,0.019628542495671197,90.0,0.0,0.006923594592457139,0.00018328889766804527,0.0006973655549602626,2.4082244136855413e-05,0.1778233015784733,0.8
